forecast_id,origin_date,capture_time_utc,spot_date,horizon_days,due_date,model,spot,predicted_log_return,forecast_price,p_up,status,actual_price,actual_log_return,actual_up,source
2026-09-14::180::primary_equal_weight_ensemble,2026-09-14,2026-09-15T14:22:30.332058+00:00,2026-09-14,180,2027-03-13,primary_equal_weight_ensemble,78189.21,0.1631955894517844,92049.57107232529,0.6203062045217098,PENDING,,,,scheduled_primary_price_cycle_v2
2026-09-14::365::price_ridge,2026-09-14,2026-09-15T14:22:30.332058+00:00,2026-09-14,365,2027-09-14,price_ridge,78189.21,0.5056700649831443,129645.23045741666,0.7534209949172002,PENDING,,,,scheduled_frozen_shadow_v1
2026-09-14::365::price_macro_ridge,2026-09-14,2026-09-15T14:22:30.332058+00:00,2026-09-14,365,2027-09-14,price_macro_ridge,78189.21,0.9149056940712748,195202.4748752572,0.8924936834711306,PENDING,,,,scheduled_frozen_shadow_v1
2026-09-14::365::primary_equal_weight_ensemble,2026-09-14,2026-09-15T14:22:30.332058+00:00,2026-09-14,365,2027-09-14,primary_equal_weight_ensemble,78189.21,0.266514140720514,102068.66766823256,0.6399431403212325,PENDING,,,,scheduled_primary_price_cycle_v2
2026-09-21::7::price_ridge,2026-09-21,2026-09-22T14:05:19.296753+00:00,2026-09-21,7,2026-09-28,price_ridge,86620.0,0.004962127629855994,87050.88767097204,0.5212986395742991,PENDING,,,,scheduled_frozen_shadow_v1
2026-09-21::7::price_macro_ridge,2026-09-21,2026-09-22T14:05:19.296753+00:00,2026-09-21,7,2026-09-28,price_macro_ridge,86620.0,-0.028248231456501578,84207.37481842891,0.38053780843650475,PENDING,,,,scheduled_frozen_shadow_v1
2026-09-21::7::primary_equal_weight_ensemble,2026-09-21,2026-09-22T14:05:19.296753+00:00,2026-09-21,7,2026-09-28,primary_equal_weight_ensemble,86620.0,0.019184093399820853,88297.76794340655,0.580866143057006,PENDING,,,,scheduled_primary_price_cycle_v2
2026-09-21::30::price_ridge,2026-09-21,2026-09-22T14:05:19.296753+00:00,2026-09-21,30,2026-10-21,price_ridge,86620.0,0.027418976093058628,89027.89182073185,0.5557308326781781,PENDING,,,,scheduled_frozen_shadow_v1
2026-09-21::30::price_macro_ridge,2026-09-21,2026-09-22T14:05:19.296753+00:00,2026-09-21,30,2026-10-21,price_macro_ridge,86620.0,-0.10795317165517085,77756.14350905093,0.29053925458643537,PENDING,,,,scheduled_frozen_shadow_v1
2026-09-21::30::primary_equal_weight_ensemble,2026-09-21,2026-09-22T14:05:19.296753+00:00,2026-09-21,30,2026-10-21,primary_equal_weight_ensemble,86620.0,0.034956310582628124,89701.46008608404,0.5671157168469516,PENDING,,,,scheduled_primary_price_cycle_v2
2026-09-21::90::price_ridge,2026-09-21,2026-09-22T14:05:19.296753+00:00,2026-09-21,90,2026-12-20,price_ridge,86620.0,0.14701181595947516,100337.8058580895,0.656481343716339,PENDING,,,,scheduled_frozen_shadow_v1
2026-09-21::90::price_macro_ridge,2026-09-21,2026-09-22T14:05:19.296753+00:00,2026-09-21,90,2026-12-20,price_macro_ridge,86620.0,-0.2355919481588012,68438.72282595329,0.2592599717672984,PENDING,,,,scheduled_frozen_shadow_v1
2026-09-21::90::primary_equal_weight_ensemble,2026-09-21,2026-09-22T14:05:19.296753+00:00,2026-09-21,90,2026-12-20,primary_equal_weight_ensemble,86620.0,0.049679438752683616,91031.91638573146,0.5505978625736709,PENDING,,,,scheduled_primary_price_cycle_v2
2026-09-21::180::price_ridge,2026-09-21,2026-09-22T14:05:19.296753+00:00,2026-09-21,180,2027-03-20,price_ridge,86620.0,0.25862359123182577,112185.5645956068,0.6864878103261425,PENDING,,,,scheduled_frozen_shadow_v1
2026-09-21::180::price_macro_ridge,2026-09-21,2026-09-22T14:05:19.296753+00:00,2026-09-21,180,2027-03-20,price_macro_ridge,86620.0,0.05319360350389141,91352.38028921248,0.5398054892615659,PENDING,,,,scheduled_frozen_shadow_v1
2026-09-21::180::primary_equal_weight_ensemble,2026-09-21,2026-09-22T14:05:19.296753+00:00,2026-09-21,180,2027-03-20,primary_equal_weight_ensemble,86620.0,0.21164972317918432,107037.63043740642,0.6545611108588969,PENDING,,,,scheduled_primary_price_cycle_v2
2026-09-21::365::price_ridge,2026-09-21,2026-09-22T14:05:19.296753+00:00,2026-09-21,365,2027-09-21,price_ridge,86620.0,0.43296227373996493,133552.2797140143,0.7213173885155135,PENDING,,,,scheduled_frozen_shadow_v1
2026-09-21::365::price_macro_ridge,2026-09-21,2026-09-22T14:05:19.296753+00:00,2026-09-21,365,2027-09-21,price_macro_ridge,86620.0,0.8540082454837552,203474.15233654034,0.8764393527507368,PENDING,,,,scheduled_frozen_shadow_v1
2026-09-21::365::primary_equal_weight_ensemble,2026-09-21,2026-09-22T14:05:19.296753+00:00,2026-09-21,365,2027-09-21,primary_equal_weight_ensemble,86620.0,0.26262628541699684,112635.50899685892,0.6380168625604228,PENDING,,,,scheduled_primary_price_cycle_v2
